study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
tiger,,0,0,0,1,,,,,36.0957322,36.0957322,4.011111111,6.9562074,,,,,,,,,,,,,681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
vase,,0,1,1,0,,,,,43.0395242,43.0395242,1.025925926,6.4868064,,,,,,,,,,,,,681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
piano,,0,2,2,4,,,,,49.5525908,49.5525908,3.018518519,3.0379354,,,,,,,,,,,,,681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
cushion,,0,3,3,3,,,,,52.6038841,52.6038841,4.992592593,1.9135153,,,,,,,,,,,,,681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
book,,0,4,4,2,,,,,54.5497776,54.5497776,4.037037037,1.5591745,,,,,,,,,,,,,681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
,_o_s_,,,,,0,0,0,8,,,,,56.1519447,56.1519447,56.1519447,0.0105642,"loose
",[0.017592592592592594],[-0.325],[1],[0],[0],[9.83375759999035],['text_3'],681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
,_a_e,,,,,0,1,1,0,,,,,65.9599769,65.9599769,65.9599769,0.0024588,vase,[0.018518518518518517],[-0.3212962962962963],[1],[0],[0],[4.83052439999301],['text_3'],681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
,o_an_e,,,,,0,2,2,9,,,,,70.7949842,70.7949842,70.7949842,0.0025909,orange,[0.018518518518518517],[-0.3212962962962963],[1],[0],[0],[6.542435300012585],['text_3'],681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
,t_g_r,,,,,0,3,3,1,,,,,77.3413127,77.3413127,77.3413127,0.003191,tiger,[0.023148148148148147],[-0.3175925925925926],[1],[0],[0],[3.0606811000034213],['text_3'],681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
,c_m_r_,,,,,0,4,4,6,,,,,80.4062493,80.4062493,80.4062493,0.0027457,camera,[0.023148148148148147],[-0.3175925925925926],[1],[0],[0],[5.908697500010021],['text_3'],681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
,c_sh_on,,,,,0,5,5,3,,,,,86.3196256,86.3196256,86.3196256,0.0030844,cushion,[0.023148148148148147],[-0.3175925925925926],[1],[0],[0],[5.525827299978118],['text_3'],681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
,_ian_,,,,,0,6,6,4,,,,,91.8501044,91.8501044,91.8501044,0.0027047,piano,[0.023148148148148147],[-0.3175925925925926],[1],[0],[0],[6.671267999976408],['text_3'],681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
,_oo_,,,,,0,7,7,2,,,,,98.5253723,98.5253723,98.5253723,0.0024793,book,[0.023148148148148147],[-0.3175925925925926],[1],[0],[0],[4.094748099974822],['text_3'],681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
,_a_o_,,,,,0,8,8,5,,,,,102.6227893,102.6227893,102.6227893,0.0028583,laptop,[0.04537037037037037],[-0.3138888888888889],[1],[0],[0],[8.707499300013296],['text_3'],681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
,r_u_d,,,,,0,9,9,7,,,,,111.3351955,111.3351955,111.3351955,0.0048166,round,[0.04259259259259259],[-0.30185185185185187],[1],[0],[0],[3.2959745999542065],['text_3'],681994,1,2022-10-24_13h16.38.286,Word Primer_Poorav,2022.2.4,60.08203601
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Prop of hit from the study list ,5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Prop of hit from non-study list ,5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Priming score ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
